state/ut,age-group-male,ratio-of-3-male,age-group-female,ratio-of-3-female
INDIA,20-24,0.12273424814472832,20-24,0.10710940654774302
JAMMU & KASHMIR,20-24,0.3175132294417623,20-24,0.2722886594238654
HIMACHAL PRADESH,20-24,0.0834641047819103,20-24,0.080650703116703
PUNJAB,15-19,0.4461755977021743,15-19,0.4720686042438375
CHANDIGARH,70+,0.5388799509691259,70+,0.3062575696406944
UTTARAKHAND,20-24,0.03427263760436141,20-24,0.027629806325625086
HARYANA,20-24,0.07358542656281072,20-24,0.07246416843909743
NCT OF DELHI,70+,0.2035843696989772,70+,0.09757510308266248
RAJASTHAN,20-24,0.032170406187092576,20-24,0.02214094996705489
UTTAR PRADESH,20-24,0.02591275197398114,20-24,0.022732202942728538
BIHAR,20-24,0.03144337425797128,20-24,0.022582151706601973
SIKKIM,15-19,0.4370257073945526,15-19,0.4796138316281611
ARUNACHAL PRADESH,15-19,0.4805333468915638,15-19,0.47116889837635034
NAGALAND,25-29,0.42194022187995267,25-29,0.3575936680297355
MANIPUR,30-49,0.3522244292672308,30-49,0.23591233137528533
MIZORAM,30-49,0.10100900431396392,30-49,0.04655971692408758
TRIPURA,25-29,0.10084028813142998,25-29,0.05704654326098527
MEGHALAYA,30-49,0.18367519388093614,30-49,0.11289015385989878
ASSAM,30-49,0.23954201866422514,30-49,0.14322486704123616
WEST BENGAL,50-69,0.0604617958790532,50-69,0.026858566506264888
JHARKHAND,20-24,0.08343959146571944,20-24,0.06381883169013126
ODISHA,20-24,0.2491406721437738,20-24,0.19198855163788542
CHHATTISGARH,30-49,0.026552583613325426,30-49,0.01806408025449874
MADHYA PRADESH,20-24,0.031202660147976076,20-24,0.024861264771193617
GUJARAT,15-19,0.2581260667935959,15-19,0.21874174985751843
DAMAN & DIU,50-69,0.2234303379170664,50-69,0.10282473785576718
DADRA & NAGAR HAVELI,10-14,0.3297253195539842,10-14,0.3071970152846311
MAHARASHTRA,20-24,0.2853477280340469,20-24,0.2543403816958618
ANDHRA PRADESH,20-24,0.1437839167965457,20-24,0.11166012535089198
KARNATAKA,25-29,0.19388702768147584,25-29,0.15288457283207577
GOA,15-19,0.662455264253017,15-19,0.7014684014869889
LAKSHADWEEP,25-29,0.2669856459330144,25-29,0.2185734463276836
KERALA,20-24,0.16739270695227845,20-24,0.17142202938880732
TAMIL NADU,25-29,0.04812666068239258,25-29,0.03820834398600035
PUDUCHERRY,50-69,0.09790638297872341,50-69,0.04064697312020946
ANDAMAN & NICOBAR ISLANDS,15-19,0.27713425228773314,15-19,0.2987944162436548
