state/ut,age-group,percentage
INDIA,20-24,11.52
JAMMU & KASHMIR,20-24,29.58
HIMACHAL PRADESH,20-24,8.21
PUNJAB,15-19,45.76
CHANDIGARH,50-69,42.77
UTTARAKHAND,20-24,3.09
HARYANA,15-19,7.32
NCT OF DELHI,70+,15.0
RAJASTHAN,15-19,2.88
UTTAR PRADESH,20-24,2.44
BIHAR,15-19,2.92
SIKKIM,15-19,45.8
ARUNACHAL PRADESH,15-19,47.59
NAGALAND,20-24,40.34
MANIPUR,25-29,31.66
MIZORAM,30-49,7.42
TRIPURA,20-24,8.21
MEGHALAYA,30-49,14.86
ASSAM,20-24,21.07
WEST BENGAL,50-69,4.46
JHARKHAND,20-24,7.38
ODISHA,15-19,22.31
CHHATTISGARH,25-29,2.3
MADHYA PRADESH,15-19,2.96
GUJARAT,15-19,23.99
DAMAN & DIU,30-49,18.18
DADRA & NAGAR HAVELI,15-19,33.83
MAHARASHTRA,20-24,27.07
ANDHRA PRADESH,15-19,12.98
KARNATAKA,20-24,17.58
GOA,15-19,68.09
LAKSHADWEEP,20-24,25.99
KERALA,20-24,16.95
TAMIL NADU,20-24,4.59
PUDUCHERRY,20-24,7.85
ANDAMAN & NICOBAR ISLANDS,15-19,28.75
