state-code,urban-percentage,rural-percentage,p-value
0,59.6,80.49,0.33240738789033075
1,41.28,54.25,0.5689967277343173
2,62.07,84.11,0.27958068859592783
3,42.76,59.16,0.5236891340259475
4,44.64,59.56,0.5920836332028827
5,69.75,88.13,0.26386845577225765
6,67.54,83.3,0.27079068263655987
7,58.96,76.44,0.39906995838486314
8,81.08,91.75,0.23660086735709487
9,73.13,92.97,0.2171387500297831
10,75.92,84.91,0.3161816705007192
11,25.27,39.99,0.8288549720438244
12,28.39,38.23,0.8679294567952576
13,25.71,42.77,0.7477930060072061
14,48.36,52.62,0.7457949238509409
15,67.38,76.55,0.33264603755210753
16,71.93,63.18,0.5840667086626801
17,41.45,80.02,0.3474292715191387
18,39.1,56.05,0.5569001503327622
19,72.31,88.79,0.356352727784471
20,62.03,72.11,0.39608668117281787
21,45.83,71.31,0.4679623553712977
22,78.28,89.32,0.3034762297935385
23,77.68,89.86,0.26170060267784323
24,43.9,67.0,0.4294518764772717
25,51.97,52.32,0.6387742931409113
26,44.8,39.75,0.8649336987406011
27,34.98,60.4,0.4904343459936864
28,62.01,80.73,0.35914705500183197
29,42.82,71.33,0.42873022557348406
30,21.34,25.17,0.7214047821843965
31,70.11,75.2,0.38691627151461017
32,72.7,78.17,0.38153786722509153
33,64.7,78.27,0.3651525371087446
34,63.49,79.51,0.3931570062031351
35,26.95,35.64,0.7208455633648518
